2023/04/06 21:47:40 [error] 2840#8152: *85 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.well-known/acme-challenge/nrkcQkghlhQ0F0zBsO7HT3Fdw3a1dPhVj8WzT-0IqHI" failed (3: The system cannot find the path specified), client: 23.178.112.209, server: localhost, request: "GET /.well-known/acme-challenge/nrkcQkghlhQ0F0zBsO7HT3Fdw3a1dPhVj8WzT-0IqHI HTTP/1.1", host: "nightcity.digital"
2023/04/06 21:47:40 [error] 2840#8152: *86 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.well-known/acme-challenge/y073KJEzQyeGg6DQjEj_Jg-aoHEg7WJw02tpd4IKIVg" failed (3: The system cannot find the path specified), client: 23.178.112.203, server: localhost, request: "GET /.well-known/acme-challenge/y073KJEzQyeGg6DQjEj_Jg-aoHEg7WJw02tpd4IKIVg HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 21:47:40 [error] 2840#8152: *87 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.well-known/acme-challenge/y073KJEzQyeGg6DQjEj_Jg-aoHEg7WJw02tpd4IKIVg" failed (3: The system cannot find the path specified), client: 3.15.13.189, server: localhost, request: "GET /.well-known/acme-challenge/y073KJEzQyeGg6DQjEj_Jg-aoHEg7WJw02tpd4IKIVg HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 21:47:40 [error] 2840#8152: *88 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.well-known/acme-challenge/y073KJEzQyeGg6DQjEj_Jg-aoHEg7WJw02tpd4IKIVg" failed (3: The system cannot find the path specified), client: 35.90.65.14, server: localhost, request: "GET /.well-known/acme-challenge/y073KJEzQyeGg6DQjEj_Jg-aoHEg7WJw02tpd4IKIVg HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 21:55:47 [error] 2840#8152: *126 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.well-known/acme-challenge/Ibn2OoySLNTilEx1a9qbGu54UbzD1WMwEAK6qyJtL2s" failed (3: The system cannot find the path specified), client: 23.178.112.107, server: localhost, request: "GET /.well-known/acme-challenge/Ibn2OoySLNTilEx1a9qbGu54UbzD1WMwEAK6qyJtL2s HTTP/1.1", host: "nightcity.digital"
2023/04/06 21:55:47 [error] 2840#8152: *127 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.well-known/acme-challenge/IupeZ_DDEfkFBGGXFxYAv3bRG_qERBPb2RNCfe-TCn4" failed (3: The system cannot find the path specified), client: 23.178.112.103, server: localhost, request: "GET /.well-known/acme-challenge/IupeZ_DDEfkFBGGXFxYAv3bRG_qERBPb2RNCfe-TCn4 HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 21:55:47 [error] 2840#8152: *128 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.well-known/acme-challenge/IupeZ_DDEfkFBGGXFxYAv3bRG_qERBPb2RNCfe-TCn4" failed (3: The system cannot find the path specified), client: 18.219.21.226, server: localhost, request: "GET /.well-known/acme-challenge/IupeZ_DDEfkFBGGXFxYAv3bRG_qERBPb2RNCfe-TCn4 HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *140 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.vscode/sftp.json" failed (3: The system cannot find the path specified), client: 45.79.116.95, server: localhost, request: "GET /.vscode/sftp.json HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *141 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.DS_Store" failed (2: The system cannot find the file specified), client: 45.79.116.95, server: localhost, request: "GET /.DS_Store HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *142 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application" failed (3: The system cannot find the path specified), client: 45.79.116.95, server: localhost, request: "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *143 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/debug/default/view" failed (3: The system cannot find the path specified), client: 45.79.116.95, server: localhost, request: "GET /debug/default/view?panel=config HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *145 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.env" failed (2: The system cannot find the file specified), client: 45.79.116.95, server: localhost, request: "GET /.env HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *146 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/server-status" failed (2: The system cannot find the file specified), client: 45.79.116.95, server: localhost, request: "GET /server-status HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *147 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/info.php" failed (2: The system cannot find the file specified), client: 45.79.116.95, server: localhost, request: "GET /info.php HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *148 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/telescope/requests" failed (3: The system cannot find the path specified), client: 45.79.116.95, server: localhost, request: "GET /telescope/requests HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *150 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.git/config" failed (3: The system cannot find the path specified), client: 45.79.116.95, server: localhost, request: "GET /.git/config HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *151 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/s/7393e20383e2834313e28393/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties" failed (3: The system cannot find the path specified), client: 45.79.116.95, server: localhost, request: "GET /s/7393e20383e2834313e28393/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *153 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/about" failed (2: The system cannot find the file specified), client: 45.79.116.95, server: localhost, request: "GET /about HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *154 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/login.action" failed (2: The system cannot find the file specified), client: 45.79.116.95, server: localhost, request: "GET /login.action HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *155 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/config.json" failed (2: The system cannot find the file specified), client: 45.79.116.95, server: localhost, request: "GET /config.json HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *156 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/api/search" failed (3: The system cannot find the path specified), client: 45.79.116.95, server: localhost, request: "GET /api/search?folderIds=0 HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *157 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/v2/_catalog" failed (3: The system cannot find the path specified), client: 45.79.116.95, server: localhost, request: "GET /v2/_catalog HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *158 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application" failed (3: The system cannot find the path specified), client: 164.90.205.35, server: localhost, request: "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *160 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.git/config" failed (3: The system cannot find the path specified), client: 164.90.205.35, server: localhost, request: "GET /.git/config HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *161 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/info.php" failed (2: The system cannot find the file specified), client: 164.90.205.35, server: localhost, request: "GET /info.php HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *162 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/debug/default/view" failed (3: The system cannot find the path specified), client: 164.90.205.35, server: localhost, request: "GET /debug/default/view?panel=config HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *164 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/telescope/requests" failed (3: The system cannot find the path specified), client: 164.90.205.35, server: localhost, request: "GET /telescope/requests HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *165 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.vscode/sftp.json" failed (3: The system cannot find the path specified), client: 164.90.205.35, server: localhost, request: "GET /.vscode/sftp.json HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *166 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.env" failed (2: The system cannot find the file specified), client: 164.90.205.35, server: localhost, request: "GET /.env HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *159 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/server-status" failed (2: The system cannot find the file specified), client: 164.90.205.35, server: localhost, request: "GET /server-status HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *168 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/s/7393e20383e2834313e28393/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties" failed (3: The system cannot find the path specified), client: 164.90.205.35, server: localhost, request: "GET /s/7393e20383e2834313e28393/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *169 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.DS_Store" failed (2: The system cannot find the file specified), client: 164.90.205.35, server: localhost, request: "GET /.DS_Store HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *170 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/login.action" failed (2: The system cannot find the file specified), client: 164.90.205.35, server: localhost, request: "GET /login.action HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *172 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/api/search" failed (3: The system cannot find the path specified), client: 164.90.205.35, server: localhost, request: "GET /api/search?folderIds=0 HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *171 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/about" failed (2: The system cannot find the file specified), client: 164.90.205.35, server: localhost, request: "GET /about HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *173 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/config.json" failed (2: The system cannot find the file specified), client: 164.90.205.35, server: localhost, request: "GET /config.json HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:24 [error] 2840#8152: *174 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/v2/_catalog" failed (3: The system cannot find the path specified), client: 164.90.205.35, server: localhost, request: "GET /v2/_catalog HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:01:45 [error] 2840#8152: *183 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/robots.txt" failed (2: The system cannot find the file specified), client: 68.183.18.118, server: localhost, request: "GET /robots.txt HTTP/1.1", host: "www.nightcity.digital"
2023/04/06 22:01:51 [error] 2840#8152: *185 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.git/config" failed (3: The system cannot find the path specified), client: 52.58.25.43, server: localhost, request: "GET /.git/config HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:04:36 [error] 2840#8152: *197 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/robots.txt" failed (2: The system cannot find the file specified), client: 68.183.18.118, server: localhost, request: "GET /robots.txt HTTP/1.1", host: "nightcity.digital"
2023/04/06 22:20:49 [emerg] 4992#11752: unknown directive "HTTPS" in C:\Users\willi\Documents\GitHub\WebServer/conf/nginx.conf:98
2023/04/06 22:23:03 [emerg] 10232#8896: cannot load certificate key "C:\Users\willi\Documents\GitHub\WebServer\ssl\privkey1.key": BIO_new_file() failed (SSL: error:02001002:system library:fopen:No such file or directory:fopen('C:\Users\willi\Documents\GitHub\WebServer\ssl\privkey1.key','r') error:2006D080:BIO routines:BIO_new_file:no such file)
2023/04/06 22:23:30 [notice] 7728#2760: signal process started
2023/04/06 22:26:50 [error] 5740#4844: *265 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/mail/98.148.80.97:5001/login" failed (2: The system cannot find the file specified), client: 98.148.80.97, server: localhost, request: "POST /mail/98.148.80.97:5001/login HTTP/1.1", host: "nightcity.digital", referrer: "http://nightcity.digital/mail/"
2023/04/06 22:27:21 [error] 5740#4844: *265 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/mail/98.148.80.97:5001/login" failed (2: The system cannot find the file specified), client: 98.148.80.97, server: localhost, request: "POST /mail/98.148.80.97:5001/login HTTP/1.1", host: "nightcity.digital", referrer: "http://nightcity.digital/mail/"
2023/04/06 22:30:26 [error] 5740#4844: *277 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/mail/98.148.80.97:5001/login" failed (2: The system cannot find the file specified), client: 98.148.80.97, server: localhost, request: "POST /mail/98.148.80.97:5001/login HTTP/1.1", host: "nightcity.digital", referrer: "http://nightcity.digital/mail/"
2023/04/06 22:31:24 [error] 5740#4844: *280 "C:\Users\willi\Documents\GitHub\WebServer/html/recordings/index.html" is not found (3: The system cannot find the path specified), client: 45.93.16.15, server: localhost, request: "GET /recordings/ HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:07 [error] 5740#4844: *281 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.aws/credentials" failed (3: The system cannot find the path specified), client: 173.245.211.29, server: localhost, request: "GET /.aws/credentials HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:07 [error] 5740#4844: *282 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/env.js" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /env.js HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:07 [error] 5740#4844: *283 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/env.json" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /env.json HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:08 [error] 5740#4844: *284 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/wp-config.php-bak" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /wp-config.php-bak HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:08 [error] 5740#4844: *285 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/wp-config.php.new" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /wp-config.php.new HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:09 [error] 5740#4844: *286 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/wp-config.php" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /wp-config.php HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:09 [error] 5740#4844: *287 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/configure.php.bak" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /configure.php.bak HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:10 [error] 5740#4844: *288 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/wp-config.php.backup" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /wp-config.php.backup HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:10 [error] 5740#4844: *289 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/wp-config.good" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /wp-config.good HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:10 [error] 5740#4844: *290 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/wp-config.php_bak" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /wp-config.php_bak HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:11 [error] 5740#4844: *291 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/config.php.bak" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /config.php.bak HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:11 [error] 5740#4844: *292 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/js/config.js" failed (3: The system cannot find the path specified), client: 173.245.211.29, server: localhost, request: "GET /js/config.js HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:11 [error] 5740#4844: *293 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/wp-config.bak" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /wp-config.bak HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:12 [error] 5740#4844: *294 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/aws_config.js" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /aws_config.js HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:12 [error] 5740#4844: *295 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/aws.js" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /aws.js HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:13 [error] 5740#4844: *296 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.s3cfg" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /.s3cfg HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:13 [error] 5740#4844: *297 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/config.json" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /config.json HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:14 [error] 5740#4844: *299 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.env" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /.env HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:14 [error] 5740#4844: *300 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.env.bak" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /.env.bak HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:15 [error] 5740#4844: *301 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.env_1" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /.env_1 HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:32:15 [error] 5740#4844: *302 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/.env.live" failed (2: The system cannot find the file specified), client: 173.245.211.29, server: localhost, request: "GET /.env.live HTTP/1.1", host: "98.148.80.97"
2023/04/06 22:36:01 [error] 5740#4844: *308 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/mail/98.148.80.97:5001/login" failed (2: The system cannot find the file specified), client: 98.148.80.97, server: localhost, request: "POST /mail/98.148.80.97:5001/login HTTP/1.1", host: "nightcity.digital", referrer: "http://nightcity.digital/mail/"
2023/04/07 00:02:24 [error] 5740#4844: *338 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/showLogin.cc" failed (2: The system cannot find the file specified), client: 128.14.141.34, server: nightcity.digital, request: "GET /showLogin.cc HTTP/1.1", host: "98.148.80.97"
2023/04/07 00:29:31 [error] 5740#4844: *340 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/favicon.ico" failed (2: The system cannot find the file specified), client: 64.62.197.57, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "98.148.80.97"
2023/04/07 00:30:13 [error] 5740#4844: *341 "C:\Users\willi\Documents\GitHub\WebServer/html/geoserver/web/index.html" is not found (3: The system cannot find the path specified), client: 64.62.197.61, server: localhost, request: "GET /geoserver/web/ HTTP/1.1", host: "98.148.80.97"
2023/04/07 00:47:49 [error] 5740#4844: *346 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/dispatch.asp" failed (2: The system cannot find the file specified), client: 193.32.162.159, server: localhost, request: "GET /dispatch.asp HTTP/1.1", host: "98.148.80.97"
2023/04/07 00:59:54 [error] 5740#4844: *351 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/robots.txt" failed (2: The system cannot find the file specified), client: 23.236.125.80, server: localhost, request: "GET /robots.txt HTTP/1.1", host: "98.148.80.97"
2023/04/07 00:59:56 [error] 5740#4844: *352 CreateFile() "C:\Users\willi\Documents\GitHub\WebServer/html/sitemap.xml" failed (2: The system cannot find the file specified), client: 23.236.125.80, server: localhost, request: "GET /sitemap.xml HTTP/1.1", host: "98.148.80.97"
